schema,table,column,data_type,classification,is_pk,fk_references
bit,authorization_log,actual_band,integer,DATA,,
bit,authorization_log,authorized,boolean,DATA,,
bit,authorization_log,company_unique_id,text,CTB_PATH,,
bit,authorization_log,correlation_id,text,DATA,,
bit,authorization_log,denial_reason,text,DATA,,
bit,authorization_log,log_id,uuid,PK,PK,
bit,authorization_log,proof_id,text,DATA,,
bit,authorization_log,proof_valid,boolean,DATA,,
bit,authorization_log,requested_action,text,DATA,,
bit,authorization_log,requested_at,timestamp with time zone,DATA,,
bit,authorization_log,requested_band,integer,DATA,,
bit,authorization_log,requested_by,text,DATA,,
bit,movement_events,company_unique_id,text,CTB_PATH,,
bit,movement_events,comparison_period,text,DATA,,
bit,movement_events,created_at,timestamp with time zone,AUDIT,,
bit,movement_events,detected_at,timestamp with time zone,DATA,,
bit,movement_events,direction,text,DATA,,
bit,movement_events,domain,text,DATA,,
bit,movement_events,evidence,jsonb,DATA,,
bit,movement_events,magnitude,numeric,DATA,,
bit,movement_events,movement_class,text,DATA,,
bit,movement_events,movement_id,uuid,PK,PK,
bit,movement_events,pressure_class,text,DATA,,
bit,movement_events,source_fields,ARRAY,DATA,,
bit,movement_events,source_hub,text,DISCRIMINATOR,,
bit,movement_events,source_record_ids,jsonb,DATA,,
bit,movement_events,source_table,text,DATA,,
bit,movement_events,valid_from,timestamp with time zone,DATA,,
bit,movement_events,valid_until,timestamp with time zone,DATA,,
bit,phase_state,aligned_domains,integer,DATA,,
bit,phase_state,blog_active,boolean,OPERATIONAL,,
bit,phase_state,company_unique_id,text,PK,PK,
bit,phase_state,current_band,integer,DATA,,
bit,phase_state,dol_active,boolean,OPERATIONAL,,
bit,phase_state,last_band_change_at,timestamp with time zone,DATA,,
bit,phase_state,last_movement_at,timestamp with time zone,DATA,,
bit,phase_state,people_active,boolean,OPERATIONAL,,
bit,phase_state,phase_entered_at,timestamp with time zone,DATA,,
bit,phase_state,phase_status,text,OPERATIONAL,,
bit,phase_state,primary_pressure,text,DATA,,
bit,phase_state,stasis_start,timestamp with time zone,OPERATIONAL,,
bit,phase_state,stasis_years,numeric,OPERATIONAL,,
bit,phase_state,updated_at,timestamp with time zone,AUDIT,,
bit,proof_lines,band,integer,DATA,,
bit,proof_lines,company_unique_id,text,CTB_PATH,,
bit,proof_lines,evidence,jsonb,DATA,,
bit,proof_lines,generated_at,timestamp with time zone,DATA,,
bit,proof_lines,generated_by,text,DATA,,
bit,proof_lines,human_readable,text,DATA,,
bit,proof_lines,movement_ids,ARRAY,DATA,,
bit,proof_lines,pressure_class,text,DATA,,
bit,proof_lines,proof_id,text,PK,PK,
bit,proof_lines,sources,ARRAY,DATA,,
bit,proof_lines,valid_until,timestamp with time zone,DATA,,
bit,vw_active_movements,company_unique_id,text,CTB_PATH,,
bit,vw_active_movements,detected_at,timestamp with time zone,DATA,,
bit,vw_active_movements,domain,text,DATA,,
bit,vw_active_movements,magnitude,numeric,DATA,,
bit,vw_active_movements,movement_class,text,DATA,,
bit,vw_active_movements,pressure_class,text,DATA,,
bit,vw_active_movements,time_remaining,interval,DATA,,
bit,vw_active_movements,valid_until,timestamp with time zone,DATA,,
bit,vw_company_authorization,active_movement_count,bigint,DATA,,
bit,vw_company_authorization,aligned_domains,integer,DATA,,
bit,vw_company_authorization,blog_active,boolean,OPERATIONAL,,
bit,vw_company_authorization,company_unique_id,text,CTB_PATH,,
bit,vw_company_authorization,current_band,integer,DATA,,
bit,vw_company_authorization,dol_active,boolean,OPERATIONAL,,
bit,vw_company_authorization,last_movement_at,timestamp with time zone,DATA,,
bit,vw_company_authorization,people_active,boolean,OPERATIONAL,,
bit,vw_company_authorization,phase_status,text,OPERATIONAL,,
bit,vw_company_authorization,primary_pressure,text,DATA,,
bit,vw_company_authorization,valid_proof_count,bigint,DATA,,
blog,pressure_signals,company_unique_id,text,CTB_PATH,,
blog,pressure_signals,correlation_id,uuid,DATA,,
blog,pressure_signals,created_at,timestamp with time zone,AUDIT,,
blog,pressure_signals,detected_at,timestamp with time zone,DATA,,
blog,pressure_signals,expires_at,timestamp with time zone,DATA,,
blog,pressure_signals,magnitude,integer,DATA,,
blog,pressure_signals,pressure_class,USER-DEFINED,DATA,,
blog,pressure_signals,pressure_domain,USER-DEFINED,DATA,,
blog,pressure_signals,signal_id,uuid,PK,PK,
blog,pressure_signals,signal_type,character varying,DISCRIMINATOR,,
blog,pressure_signals,signal_value,jsonb,DATA,,
blog,pressure_signals,source_record_id,text,DATA,,
catalog,columns,business_definition,text,DATA,,
catalog,columns,business_name,character varying,DATA,,
catalog,columns,column_id,character varying,PK,PK,
catalog,columns,column_name,character varying,DATA,,
catalog,columns,created_at,timestamp without time zone,AUDIT,,
catalog,columns,data_sensitivity,character varying,DATA,,
catalog,columns,data_type,character varying,DATA,,
catalog,columns,default_value,text,DATA,,
catalog,columns,description,text,DATA,,
catalog,columns,format_example,character varying,DATA,,
catalog,columns,format_pattern,character varying,DATA,,
catalog,columns,is_foreign_key,boolean,OPERATIONAL,,
catalog,columns,is_nullable,boolean,OPERATIONAL,,
catalog,columns,is_primary_key,boolean,OPERATIONAL,,
catalog,columns,max_length,integer,DATA,,
catalog,columns,ordinal_position,integer,DATA,,
catalog,columns,pii_classification,character varying,DATA,,
catalog,columns,references_column,character varying,DATA,,
catalog,columns,source_field,character varying,DATA,,
catalog,columns,source_system,character varying,DATA,,
catalog,columns,synonyms,ARRAY,DATA,,
catalog,columns,table_id,character varying,FK,,catalog.tables(table_id)
catalog,columns,tags,ARRAY,DATA,,
catalog,columns,transformation_logic,text,DATA,,
catalog,columns,updated_at,timestamp without time zone,AUDIT,,
catalog,columns,valid_values,ARRAY,DATA,,
catalog,columns,validation_rule,text,DATA,,
catalog,relationships,created_at,timestamp without time zone,AUDIT,,
catalog,relationships,description,text,DATA,,
catalog,relationships,from_column_id,character varying,DATA,,
catalog,relationships,from_table_id,character varying,DATA,,
catalog,relationships,is_enforced,boolean,OPERATIONAL,,
catalog,relationships,relationship_id,integer,PK,PK,
catalog,relationships,relationship_name,character varying,DATA,,
catalog,relationships,relationship_type,character varying,DATA,,
catalog,relationships,to_column_id,character varying,DATA,,
catalog,relationships,to_table_id,character varying,DATA,,
catalog,schemas,created_at,timestamp without time zone,AUDIT,,
catalog,schemas,description,text,DATA,,
catalog,schemas,owner,character varying,DATA,,
catalog,schemas,parent_schema,character varying,DATA,,
catalog,schemas,schema_id,character varying,PK,PK,
catalog,schemas,schema_name,character varying,DATA,,
catalog,schemas,schema_type,character varying,DATA,,
catalog,schemas,updated_at,timestamp without time zone,AUDIT,,
catalog,tables,business_purpose,text,DATA,,
catalog,tables,created_at,timestamp without time zone,AUDIT,,
catalog,tables,data_source,character varying,DATA,,
catalog,tables,description,text,DATA,,
catalog,tables,foreign_keys,jsonb,DATA,,
catalog,tables,owner,character varying,DATA,,
catalog,tables,primary_key,character varying,DATA,,
catalog,tables,refresh_frequency,character varying,DATA,,
catalog,tables,row_count_approx,integer,DATA,,
catalog,tables,schema_id,character varying,FK,,catalog.schemas(schema_id)
catalog,tables,table_id,character varying,PK,PK,
catalog,tables,table_name,character varying,DATA,,
catalog,tables,table_type,character varying,DATA,,
catalog,tables,tags,ARRAY,DATA,,
catalog,tables,updated_at,timestamp without time zone,AUDIT,,
catalog,v_ai_reference,business_name,character varying,DATA,,
catalog,v_ai_reference,column_id,character varying,DATA,,
catalog,v_ai_reference,column_name,character varying,DATA,,
catalog,v_ai_reference,description,text,DATA,,
catalog,v_ai_reference,format_example,character varying,DATA,,
catalog,v_ai_reference,full_type,text,DATA,,
catalog,v_ai_reference,key_info,text,DATA,,
catalog,v_ai_reference,tags,text,DATA,,
catalog,v_schema_summary,column_count,bigint,DATA,,
catalog,v_schema_summary,description,text,DATA,,
catalog,v_schema_summary,schema_id,character varying,DATA,,
catalog,v_schema_summary,schema_name,character varying,DATA,,
catalog,v_schema_summary,schema_type,character varying,DATA,,
catalog,v_schema_summary,table_count,bigint,DATA,,
catalog,v_schema_summary,total_rows,bigint,DATA,,
catalog,v_searchable_columns,business_definition,text,DATA,,
catalog,v_searchable_columns,business_name,character varying,DATA,,
catalog,v_searchable_columns,column_id,character varying,DATA,,
catalog,v_searchable_columns,column_name,character varying,DATA,,
catalog,v_searchable_columns,data_type,character varying,DATA,,
catalog,v_searchable_columns,description,text,DATA,,
catalog,v_searchable_columns,format_example,character varying,DATA,,
catalog,v_searchable_columns,format_pattern,character varying,DATA,,
catalog,v_searchable_columns,is_foreign_key,boolean,OPERATIONAL,,
catalog,v_searchable_columns,is_nullable,boolean,OPERATIONAL,,
catalog,v_searchable_columns,is_primary_key,boolean,OPERATIONAL,,
catalog,v_searchable_columns,max_length,integer,DATA,,
catalog,v_searchable_columns,ordinal_position,integer,DATA,,
catalog,v_searchable_columns,references_column,character varying,DATA,,
catalog,v_searchable_columns,schema_name,character varying,DATA,,
catalog,v_searchable_columns,schema_type,character varying,DATA,,
catalog,v_searchable_columns,source_system,character varying,DATA,,
catalog,v_searchable_columns,synonyms,ARRAY,DATA,,
catalog,v_searchable_columns,table_id,character varying,DATA,,
catalog,v_searchable_columns,table_name,character varying,DATA,,
catalog,v_searchable_columns,table_type,character varying,DATA,,
catalog,v_searchable_columns,tags,ARRAY,DATA,,
