schema,table,column,position,data_type,max_length,precision,nullable,default,is_pk,fk_references,is_unique
bit,authorization_log,log_id,1,uuid,,,NO,gen_random_uuid(),PK,,
bit,authorization_log,company_unique_id,2,text,,,NO,,,,
bit,authorization_log,requested_action,3,text,,,NO,,,,
bit,authorization_log,requested_band,4,integer,,32,NO,,,,
bit,authorization_log,authorized,5,boolean,,,NO,,,,
bit,authorization_log,actual_band,6,integer,,32,NO,,,,
bit,authorization_log,denial_reason,7,text,,,YES,,,,
bit,authorization_log,proof_id,8,text,,,YES,,,,
bit,authorization_log,proof_valid,9,boolean,,,YES,,,,
bit,authorization_log,requested_at,10,timestamp with time zone,,,NO,now(),,,
bit,authorization_log,requested_by,11,text,,,NO,,,,
bit,authorization_log,correlation_id,12,text,,,YES,,,,
bit,movement_events,movement_id,1,uuid,,,NO,gen_random_uuid(),PK,,
bit,movement_events,company_unique_id,2,text,,,NO,,,,
bit,movement_events,source_hub,3,text,,,NO,,,,
bit,movement_events,source_table,4,text,,,NO,,,,
bit,movement_events,source_fields,5,_text[],,,NO,,,,
bit,movement_events,movement_class,6,text,,,NO,,,,
bit,movement_events,pressure_class,7,text,,,NO,,,,
bit,movement_events,domain,8,text,,,NO,,,,
bit,movement_events,direction,9,text,,,NO,,,,
bit,movement_events,magnitude,10,numeric,,5,NO,,,,
bit,movement_events,detected_at,11,timestamp with time zone,,,NO,now(),,,
bit,movement_events,valid_from,12,timestamp with time zone,,,NO,,,,
bit,movement_events,valid_until,13,timestamp with time zone,,,NO,,,,
bit,movement_events,comparison_period,14,text,,,YES,,,,
bit,movement_events,evidence,15,jsonb,,,NO,,,,
bit,movement_events,source_record_ids,16,jsonb,,,NO,,,,
bit,movement_events,created_at,17,timestamp with time zone,,,NO,now(),,,
bit,phase_state,company_unique_id,1,text,,,NO,,PK,,
bit,phase_state,current_band,2,integer,,32,NO,0,,,
bit,phase_state,phase_status,3,text,,,NO,'SILENT'::text,,,
bit,phase_state,dol_active,4,boolean,,,NO,false,,,
bit,phase_state,people_active,5,boolean,,,NO,false,,,
bit,phase_state,blog_active,6,boolean,,,NO,false,,,
bit,phase_state,primary_pressure,7,text,,,YES,,,,
bit,phase_state,aligned_domains,8,integer,,32,NO,0,,,
bit,phase_state,last_movement_at,9,timestamp with time zone,,,YES,,,,
bit,phase_state,last_band_change_at,10,timestamp with time zone,,,YES,,,,
bit,phase_state,phase_entered_at,11,timestamp with time zone,,,YES,,,,
bit,phase_state,stasis_start,12,timestamp with time zone,,,YES,,,,
bit,phase_state,stasis_years,13,numeric,,3,YES,0,,,
bit,phase_state,updated_at,14,timestamp with time zone,,,NO,now(),,,
bit,proof_lines,proof_id,1,text,,,NO,,PK,,
bit,proof_lines,company_unique_id,2,text,,,NO,,,,
bit,proof_lines,band,3,integer,,32,NO,,,,
bit,proof_lines,pressure_class,4,text,,,NO,,,,
bit,proof_lines,sources,5,_text[],,,NO,,,,
bit,proof_lines,evidence,6,jsonb,,,NO,,,,
bit,proof_lines,movement_ids,7,_uuid[],,,NO,,,,
bit,proof_lines,human_readable,8,text,,,NO,,,,
bit,proof_lines,generated_at,9,timestamp with time zone,,,NO,now(),,,
bit,proof_lines,valid_until,10,timestamp with time zone,,,NO,,,,
bit,proof_lines,generated_by,11,text,,,NO,,,,
bit,vw_active_movements,company_unique_id,1,text,,,YES,,,,
bit,vw_active_movements,domain,2,text,,,YES,,,,
bit,vw_active_movements,pressure_class,3,text,,,YES,,,,
bit,vw_active_movements,movement_class,4,text,,,YES,,,,
bit,vw_active_movements,magnitude,5,numeric,,5,YES,,,,
bit,vw_active_movements,detected_at,6,timestamp with time zone,,,YES,,,,
bit,vw_active_movements,valid_until,7,timestamp with time zone,,,YES,,,,
bit,vw_active_movements,time_remaining,8,interval,,,YES,,,,
bit,vw_company_authorization,company_unique_id,1,text,,,YES,,,,
bit,vw_company_authorization,current_band,2,integer,,32,YES,,,,
bit,vw_company_authorization,phase_status,3,text,,,YES,,,,
bit,vw_company_authorization,dol_active,4,boolean,,,YES,,,,
bit,vw_company_authorization,people_active,5,boolean,,,YES,,,,
bit,vw_company_authorization,blog_active,6,boolean,,,YES,,,,
bit,vw_company_authorization,primary_pressure,7,text,,,YES,,,,
bit,vw_company_authorization,aligned_domains,8,integer,,32,YES,,,,
bit,vw_company_authorization,last_movement_at,9,timestamp with time zone,,,YES,,,,
bit,vw_company_authorization,active_movement_count,10,bigint,,64,YES,,,,
bit,vw_company_authorization,valid_proof_count,11,bigint,,64,YES,,,,
blog,pressure_signals,signal_id,1,uuid,,,NO,gen_random_uuid(),PK,,
blog,pressure_signals,company_unique_id,2,text,,,NO,,,,
blog,pressure_signals,signal_type,3,character varying,50,,NO,,,,
blog,pressure_signals,pressure_domain,4,pressure_domain,,,NO,'NARRATIVE_VOLATILITY'::pressure_domain,,,
blog,pressure_signals,pressure_class,5,pressure_class_type,,,YES,,,,
blog,pressure_signals,signal_value,6,jsonb,,,NO,'{}'::jsonb,,,
blog,pressure_signals,magnitude,7,integer,,32,NO,0,,,
blog,pressure_signals,detected_at,8,timestamp with time zone,,,NO,now(),,,
blog,pressure_signals,expires_at,9,timestamp with time zone,,,NO,,,,
blog,pressure_signals,correlation_id,10,uuid,,,YES,,,,
blog,pressure_signals,source_record_id,11,text,,,YES,,,,
blog,pressure_signals,created_at,12,timestamp with time zone,,,NO,now(),,,
